iter	Passed	Remaining
0	0	66
1	1	62
2	1	60
3	2	55
4	2	54
5	3	53
6	4	54
7	4	53
8	5	53
9	5	52
10	6	51
11	6	51
12	7	50
13	8	50
14	8	49
15	9	48
16	9	48
17	10	47
18	10	46
19	11	45
20	11	45
21	12	44
22	13	43
23	13	42
24	14	42
25	14	41
26	14	40
27	15	39
28	15	39
29	16	38
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	19	35
36	20	34
37	20	34
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	28	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	21
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
