iter	Passed	Remaining
0	140	140044
1	141	70390
2	141	47131
3	142	35499
4	143	28515
5	143	23847
6	144	20512
7	145	18042
8	146	16116
9	147	14559
10	147	13289
11	148	12218
12	148	11308
13	149	10526
14	150	9851
15	150	9259
16	151	8735
17	151	8270
18	152	7864
19	152	7488
20	153	7157
21	154	6856
22	154	6582
23	155	6326
24	156	6088
25	156	5868
26	157	5665
27	157	5477
28	158	5302
29	158	5140
30	159	4987
31	160	4842
32	160	4707
33	161	4578
34	161	4458
35	162	4351
36	163	4247
37	163	4144
38	164	4047
39	164	3954
40	165	3866
41	165	3782
42	166	3701
43	166	3624
44	167	3551
45	167	3481
46	168	3413
47	168	3348
48	169	3286
49	170	3236
50	171	3189
51	172	3137
52	172	3085
53	173	3035
54	173	2986
55	174	2940
56	174	2894
57	175	2851
58	176	2809
59	176	2769
60	177	2730
61	177	2692
62	178	2661
63	179	2629
64	180	2596
65	181	2563
66	181	2530
67	182	2500
68	183	2469
69	183	2440
70	184	2411
71	184	2383
72	185	2357
73	186	2331
74	186	2305
75	187	2281
76	188	2259
77	189	2240
78	190	2217
79	190	2195
80	191	2173
81	192	2152
82	192	2128
83	193	2107
84	193	2087
85	194	2067
86	195	2047
87	195	2028
88	197	2019
89	198	2002
90	198	1985
91	199	1967
92	199	1950
93	200	1933
94	201	1917
95	201	1902
96	202	1886
97	203	1870
98	203	1855
99	204	1840
100	205	1827
101	206	1815
102	206	1801
103	207	1787
104	208	1773
105	208	1759
106	209	1746
107	209	1732
108	210	1719
109	210	1707
110	211	1694
111	212	1681
112	212	1669
113	213	1657
114	214	1648
115	215	1640
116	215	1628
117	216	1617
118	216	1605
119	217	1594
120	218	1584
121	218	1574
122	219	1563
123	219	1552
124	220	1542
125	220	1532
126	221	1521
127	221	1511
128	222	1502
129	223	1493
130	223	1484
131	224	1475
132	225	1466
133	225	1458
134	226	1449
135	226	1440
136	227	1431
137	227	1423
138	228	1414
139	228	1406
140	229	1398
141	229	1389
142	230	1381
143	231	1373
144	231	1366
145	232	1359
146	233	1352
147	233	1345
148	234	1337
149	234	1330
150	235	1323
151	235	1315
152	236	1308
153	237	1302
154	237	1295
155	238	1289
156	238	1282
157	239	1276
158	240	1271
159	241	1266
160	241	1259
161	242	1254
162	243	1248
163	243	1242
164	244	1236
165	244	1230
166	245	1223
167	245	1217
168	246	1211
169	247	1205
170	247	1200
171	248	1194
172	248	1189
173	249	1184
174	250	1179
175	250	1174
176	251	1168
177	251	1163
178	252	1158
179	253	1152
180	253	1147
181	254	1142
182	254	1136
183	255	1131
184	255	1126
185	256	1120
186	256	1115
187	257	1110
188	257	1106
189	258	1102
190	259	1097
191	259	1092
192	260	1087
193	260	1082
194	261	1077
195	261	1073
196	262	1068
197	262	1063
198	263	1059
199	263	1054
200	264	1049
201	264	1045
202	265	1040
203	265	1036
204	266	1031
205	266	1027
206	267	1024
207	268	1020
208	268	1016
209	269	1012
210	269	1008
211	270	1004
212	270	1000
213	271	996
214	271	992
215	272	988
216	272	984
217	273	980
218	273	976
219	274	972
220	274	969
221	275	965
222	276	962
223	276	958
224	277	955
225	277	952
226	278	948
227	279	944
228	279	941
229	280	937
230	280	934
231	281	930
232	281	927
233	282	923
234	282	919
235	283	916
236	283	912
237	284	909
238	284	906
239	285	903
240	285	900
241	286	897
242	287	894
243	287	890
244	288	887
245	288	884
246	288	880
247	289	877
248	289	874
249	290	871
250	290	868
251	291	865
252	291	862
253	292	858
254	292	855
255	293	853
256	294	850
257	294	848
258	295	845
259	295	842
260	296	839
261	296	836
262	297	833
263	298	831
264	298	828
265	299	825
266	299	823
267	300	820
268	300	817
269	301	815
270	302	814
271	303	813
272	304	810
273	304	807
274	305	805
275	305	802
276	306	800
277	307	797
278	307	794
279	308	792
280	308	789
281	309	786
282	309	784
283	309	781
284	310	778
285	311	776
286	311	774
287	312	772
288	313	770
289	313	767
290	314	765
291	314	762
292	315	760
293	315	757
294	316	755
295	316	752
296	317	750
297	317	748
298	318	746
299	318	743
300	319	741
301	319	738
302	320	736
303	321	734
304	321	732
305	322	730
306	322	727
307	322	725
308	323	723
309	324	721
310	324	718
311	324	716
312	325	714
313	325	712
314	326	710
315	327	707
316	327	705
317	327	703
318	328	701
319	329	699
320	329	697
321	330	695
322	331	693
323	331	691
324	332	689
325	332	687
326	333	685
327	333	683
328	334	681
329	334	679
330	335	677
331	335	675
332	335	672
333	336	671
334	337	669
335	337	667
336	338	666
337	339	664
338	339	662
339	340	660
340	341	659
341	341	657
342	342	655
343	342	653
344	343	651
345	343	649
346	344	647
347	344	645
348	345	643
349	345	642
350	346	640
351	346	638
352	347	636
353	348	635
354	348	633
355	349	631
356	349	629
357	350	627
358	350	626
359	351	624
360	351	622
361	352	620
362	352	618
363	353	617
364	353	615
365	354	613
366	354	611
367	355	610
368	355	608
369	356	607
370	357	605
371	357	603
372	358	602
373	359	601
374	359	599
375	360	598
376	360	596
377	361	594
378	362	593
379	362	591
380	363	590
381	363	588
382	364	587
383	365	586
384	366	584
385	366	583
386	367	582
387	368	580
388	368	579
389	369	578
390	370	576
391	371	575
392	371	574
393	372	572
394	372	571
395	373	570
396	377	572
397	377	571
398	378	570
399	379	569
400	380	568
401	381	566
402	381	565
403	383	566
404	384	565
405	385	564
406	386	563
407	387	561
408	387	560
409	388	559
410	389	558
411	390	556
412	391	556
413	392	555
414	393	554
415	393	552
416	394	551
417	395	550
418	395	549
419	396	547
420	397	546
421	398	545
422	398	544
423	400	543
424	401	542
425	402	542
426	403	541
427	404	540
428	405	539
429	405	537
430	406	536
431	407	535
432	407	533
433	408	533
434	409	532
435	410	530
436	411	529
437	411	528
438	412	527
439	413	526
440	414	524
441	414	523
442	415	522
443	416	521
444	417	520
445	418	519
446	419	519
447	420	517
448	420	516
449	421	515
450	422	513
451	422	512
452	423	511
453	423	509
454	424	508
455	424	506
456	425	505
457	426	504
458	426	503
459	427	501
460	428	500
461	428	499
462	429	497
463	429	496
464	430	494
465	430	493
466	431	492
467	431	490
468	432	490
469	433	489
470	435	488
471	436	488
472	437	487
473	438	486
474	439	485
475	440	484
476	441	483
477	441	482
478	442	481
479	444	481
480	445	480
481	445	479
482	446	477
483	447	476
484	447	475
485	448	474
486	448	472
487	449	471
488	449	469
489	450	468
490	450	467
491	451	465
492	451	464
493	452	463
494	453	462
495	454	461
496	455	460
497	455	459
498	456	458
499	456	456
500	457	455
501	457	454
502	458	452
503	458	451
504	459	450
505	459	448
506	460	447
507	460	446
508	461	445
509	462	443
510	462	442
511	463	441
512	463	440
513	464	438
514	464	437
515	465	436
516	465	435
517	466	433
518	466	432
519	467	431
520	467	430
521	468	428
522	468	427
523	469	426
524	469	425
525	470	424
526	471	422
527	471	421
528	472	420
529	472	419
530	473	417
531	473	416
532	474	415
533	474	414
534	475	412
535	475	411
536	476	410
537	476	409
538	477	408
539	477	406
540	478	405
541	478	404
542	479	403
543	480	402
544	480	401
545	481	400
546	481	399
547	482	398
548	483	396
549	483	395
550	484	394
551	484	393
552	485	392
553	485	391
554	486	389
555	486	388
556	487	387
557	487	386
558	488	385
559	488	384
560	489	383
561	489	381
562	490	380
563	490	379
564	491	378
565	491	377
566	492	376
567	492	374
568	493	373
569	493	372
570	494	371
571	494	370
572	495	369
573	495	368
574	496	367
575	497	366
576	497	364
577	498	363
578	498	362
579	499	361
580	499	360
581	500	359
582	500	358
583	501	357
584	501	356
585	502	354
586	502	353
587	503	352
588	503	351
589	504	350
590	504	349
591	505	348
592	505	347
593	506	346
594	507	345
595	507	344
596	508	343
597	508	341
598	509	340
599	509	339
600	510	338
601	510	337
602	511	336
603	511	335
604	512	334
605	512	333
606	513	332
607	513	331
608	514	330
609	514	329
610	515	328
611	515	326
612	516	325
613	516	324
614	517	323
615	517	322
616	518	321
617	518	320
618	519	319
619	519	318
620	520	317
621	520	316
622	521	315
623	521	314
624	522	313
625	522	312
626	523	311
627	524	310
628	524	309
629	525	308
630	525	307
631	526	306
632	526	305
633	527	304
634	527	303
635	528	302
636	528	301
637	529	300
638	529	299
639	530	298
640	531	297
641	531	296
642	532	295
643	532	294
644	533	293
645	533	292
646	534	291
647	534	290
648	535	289
649	536	288
650	536	287
651	537	286
652	537	285
653	538	284
654	539	283
655	539	282
656	540	281
657	540	281
658	541	280
659	542	279
660	542	278
661	543	277
662	543	276
663	544	275
664	544	274
665	545	273
666	545	272
667	546	271
668	546	270
669	547	269
670	547	268
671	548	267
672	548	266
673	549	265
674	550	264
675	550	264
676	551	263
677	551	262
678	552	261
679	552	260
680	553	259
681	553	258
